geoid,index,latitude,longitude,area_in_m,confidence,geometry,plus_code,taxable,tax
121516,121516,5.76108277,-0.21703243,12.5238,0.6926,"POLYGON ((-0.217040806395382 5.76106097805705, -0.21705575330016 5.76108287700699, -0.217024071570014 5.7611045697372, -0.217009124666189 5.76108267078602, -0.217040806395382 5.76106097805705))",6CQXQQ6M+C5P9,1,0
93471,93471,5.7623609,-0.21922563,10.268,0.6634,"POLYGON ((-0.219210534888481 5.7623471349586, -0.21923898630611 5.76234542431128, -0.219240738280894 5.7623746555021, -0.219212286861665 5.76237636614909, -0.219210534888481 5.7623471349586))",6CQXQQ6J+W8RH,1,0
174382,174382,5.76341076,-0.21901933,59.667,0.8388,"POLYGON ((-0.21905984204282 5.76337140518772, -0.219022861156589 5.76346718185159, -0.218978808369969 5.76345011848066, -0.219015789258922 5.76335434182251, -0.21905984204282 5.76337140518772))",6CQXQQ7J+999F,1,0
96514,96514,5.76015665,-0.22556496,60.0468,0.865,"POLYGON ((-0.225513610066042 5.76013982575411, -0.225550721929082 5.76010445358571, -0.225616298871978 5.76017347454871, -0.225579187004302 5.76020884672118, -0.225513610066042 5.76013982575411))",6CQXQQ6F+3Q79,1,0
222534,222534,5.76072841,-0.22761689,188.5103,0.9336,"POLYGON ((-0.227619645147274 5.76063849424193, -0.2277011419538 5.76075959471136, -0.22761413473702 5.76081833388829, -0.227532637952496 5.76069723341158, -0.227619645147274 5.76063849424193))",6CQXQQ6C+7XR3,1,0
166435,166435,5.76177747,-0.22962476,308.9466,0.8305,"POLYGON ((-0.229560432639312 5.76167601786554, -0.229685918521856 5.76170013484521, -0.229674269229294 5.76176094107473, -0.229731518984871 5.7617719438316, -0.229724521107832 5.76180847090178, -0.229619756115202 5.76188557483123, -0.229574087977275 5.76187679792033, -0.229584066886302 5.76182471074886, -0.2295548664701 5.7618190987508, -0.229559708830996 5.76179382294891, -0.229538639221107 5.76178977360201, -0.229560432639312 5.76167601786554))",6CQXQQ6C+P562,1,0
117911,117911,5.76221933,-0.22595232,310.7714,0.886,"POLYGON ((-0.2259275 5.7620994, -0.2260442 5.7622038, -0.226025 5.7622253, -0.2260512 5.7622487, -0.2259732 5.7623361, -0.2258478 5.7622238, -0.225896 5.7621698, -0.2258786 5.7621543, -0.2259275 5.7620994))",6CQXQQ6F+VJMP,1,0
116262,116262,5.76268097,-0.22724212,291.688,0.9342,"POLYGON ((-0.2272079 5.7625696, -0.227284 5.7626387, -0.2273569 5.762705, -0.2272851 5.7627842, -0.2272422 5.7627452, -0.227227 5.762762, -0.2271556 5.7626971, -0.2271708 5.7626804, -0.2271361 5.7626488, -0.2272079 5.7625696))",6CQXQQ7F+34C7,1,0
129705,129705,5.76412598,-0.22508215,15.0172,0.759,"POLYGON ((-0.225104606412886 5.76411564792496, -0.225093838480537 5.76414778513093, -0.225059698416468 5.76413630990404, -0.225070466349233 5.76410417270057, -0.225104606412886 5.76411564792496))",6CQXQQ7F+MX33,1,0
152472,152472,5.76479243,-0.21829548,7.6398,0.7492,"POLYGON ((-0.218305103655047 5.76477741923084, -0.21831216993595 5.76479868690894, -0.218285880501796 5.76480744932003, -0.218278814222042 5.76478618164206, -0.218305103655047 5.76477741923084))",6CQXQQ7J+WM8P,1,0
231607,231607,5.76557629,-0.22374653,48.7648,0.7413,"POLYGON ((-0.223722885440126 5.76553241336899, -0.223795752733565 5.76558378871447, -0.223770186871712 5.76562016419109, -0.223697319580439 5.7655687888414, -0.223722885440126 5.76553241336899))",6CQXQQ8G+6GJ2,1,0
123540,123540,5.74960173,-0.22558373,290.2694,0.7688,"POLYGON ((-0.225516621088293 5.74951123638461, -0.225691553892662 5.74957081523111, -0.225649574666264 5.74969446941607, -0.225565467301348 5.74966582401477, -0.225571725349334 5.74964739029526, -0.225545601974487 5.74963849315841, -0.22553934392613 5.74965692687728, -0.225474641840858 5.74963489054065, -0.225516621088293 5.74951123638461))",6CQXPQXF+RQV3,1,0
60282,60282,5.75092039,-0.22908113,605.1174,0.948,"POLYGON ((-0.228975804733381 5.75079996130176, -0.229222921584073 5.75084727194534, -0.22918822377573 5.75102909080167, -0.229102743839847 5.75101272562377, -0.229095636215597 5.75104996999533, -0.229027873704584 5.75103699681655, -0.229034981332597 5.75099975244782, -0.228941106863799 5.75098178010686, -0.228975804733381 5.75079996130176))",6CQXQQ2C+997V,1,0
50026,50026,5.75207401,-0.22956741,109.2645,0.9102,"POLYGON ((-0.229539597252323 5.75201154395565, -0.229618109641991 5.75202820179384, -0.229595212140096 5.75213646951767, -0.229516699739199 5.75211981166933, -0.229539597252323 5.75201154395565))",6CQXQQ2C+R5FX,1,0
183636,183636,5.75359499,-0.22843783,93.6081,0.9094,"POLYGON ((-0.228415707097966 5.75353327699797, -0.228482188466977 5.75354676730112, -0.228459950296358 5.75365670997011, -0.228393468917572 5.75364321965855, -0.228415707097966 5.75353327699797))",6CQXQQ3C+CJMQ,1,0
169199,169199,5.75372216,-0.2267121,35.0967,0.7229,"POLYGON ((-0.226690877394514 5.75368950244659, -0.226749958184037 5.75371321045642, -0.226733314385903 5.75375481994867, -0.2266742335944 5.75373111193538, -0.226690877394514 5.75368950244659))",6CQXQQ3F+F8MR,1,0
113835,113835,5.75405858,-0.22828561,10.1821,0.6613,"POLYGON ((-0.228300044294627 5.75404115290626, -0.228291168514611 5.75408051475025, -0.228271161680075 5.75407598892465, -0.228280037461076 5.75403662708193, -0.228300044294627 5.75404115290626))",6CQXQQ3C+JMG9,1,0
